Dates,Prec,ETP,Q_obs(mm)
01/09/2011,8.2804,3.13770297169685,0.967761162024057
02/09/2011,2.3378,4.38412284478545,0.881011888874855
03/09/2011,0,4.53966564126313,0.781118789933498
04/09/2011,11.4563,2.29986757785082,0.579079399153654
05/09/2011,0,3.29019819851965,0.430741936642244
06/09/2011,7.448,3.3134578038007,0.378542194274434
07/09/2011,21.049,3.56313876248896,0.391686020066584
08/09/2011,1.5882,2.85501741990447,0.354657982828596
09/09/2011,24.9776,3.33166407700628,0.326642860435479
10/09/2011,0,4.52180999144912,0.627148259225453
11/09/2011,0,3.39473902340978,0.810786259514766
12/09/2011,25.3771,3.37646562792361,0.670335115399661
13/09/2011,0,3.1576156783849,0.528006281885677
14/09/2011,9.2278,3.99009515345097,0.61100011893459
15/09/2011,0,2.52482200413942,0.801397812520373
16/09/2011,48.5402,4.38034990243614,0.852470987090886
17/09/2011,0,3.85758905485272,1.89083322467075
18/09/2011,0,2.8920913040638,2.24196114226105
19/09/2011,1.9746,3.78004799317569,2.51610379449733
20/09/2011,33.9297,3.13266280386597,2.36325983158658
21/09/2011,36.0759,2.90726327616721,2.07071596076738
22/09/2011,17.3531,3.33435547351837,2.07935328616019
23/09/2011,9.9973,3.46467936877161,1.85403055829476
24/09/2011,2.1428,3.03513585962355,1.44619639793731
25/09/2011,6.2504,2.87219692394137,1.237397313861
26/09/2011,17.0723,3.76780685875565,1.06878082876271
27/09/2011,29.2791,3.24783140514046,1.24265482125684
28/09/2011,2.6035,3.53607126232237,1.4582135413271
29/09/2011,0,2.92132851108909,1.84914849709463
30/09/2011,26.2092,3.28192660026252,1.77666973213995
