Dates,Prec,ETP,Q_obs
01/08/2011,3.7571,3.41580846626312,0.0602738268388763
02/08/2011,3.1547,2.2173312464729,0.0376288972726033
03/08/2011,20.6947,2.44121515285224,0.0342490542057767
04/08/2011,0,3.55170718580484,0.0537394721717252
05/08/2011,11.8528,2.8614533348009,0.0935464852791066
06/08/2011,5.2237,3.15235602483153,0.0753704513249364
07/08/2011,0,2.5878345798701,0.0867492516607547
08/08/2011,0.7901,2.85643979627639,0.0930958438345529
09/08/2011,0.5943,2.86085548996925,0.0999306321004207
10/08/2011,11.6253,2.6831034142524,0.0594852007294995
11/08/2011,11.0777,2.59035681653768,0.0350226634701192
12/08/2011,60.0357,2.4116440853104,0.0337157896715622
13/08/2011,25.0971,2.38844008650631,0.0331599944976834
14/08/2011,0,2.34193518664688,0.0964756833199712
15/08/2011,0,2.96332511212677,0.715775221773538
16/08/2011,0,3.67282258812338,0.692867388186204
17/08/2011,0,3.7888683443889,0.632781327422089
18/08/2011,0,2.85099393874407,0.614755497732347
19/08/2011,0,2.94574780017138,0.490076933107315
20/08/2011,1.8305,3.91703649517149,0.384175262471069
21/08/2011,20.0391,4.59082589298487,0.439754851487115
22/08/2011,0,2.2624451611191,0.68573219139148
23/08/2011,2.7239,2.76642425078899,0.868243566580958
24/08/2011,0,4.02186298556626,1.01320115379287
25/08/2011,7.9209,3.25899533554912,1.29523012442545
26/08/2011,12.1519,2.53722454048693,1.30236532122017
27/08/2011,0,2.98041798919439,1.7462511409571
28/08/2011,0,3.23070157319307,1.91749643705584
29/08/2011,5.6321,3.51159854326397,1.44394314773765
30/08/2011,8.5453,3.66876357793808,1.41652892835604
