Dates,Prec,ETP,Q_obs
07/05/02,    3.4205,5.33793204091489,0
08/05/02,    9.9040,5.08297402970493,0
09/05/02,    7.4384,4.67000710777938,0
10/05/02,    0.0000,5.0367588698864,0
11/05/02,    0.0000,4.8568934109062,0
12/05/02,    7.4307,5.21756902523339,0
13/05/02,   15.5007,4.92989144101739,0
14/05/02,    9.9468,2.71935733500868,0
15/05/02,    0.0000,4.67437515407801,0
16/05/02,    0.2133,4.76130048371851,0
17/05/02,    2.9527,2.45209606271237,0
18/05/02,    5.5240,4.62095069140196,0
19/05/02,    8.7089,3.39970539975911,0
20/05/02,    0.0000,4.69719974324107,0
21/05/02,    1.3370,3.93690840993077,0
22/05/02,    0.3139,3.92413149308413,0
23/05/02,    4.2098,4.33490634709597,0
24/05/02,    5.3847,4.32259729877114,0
25/05/02,    0.0000,4.50944784656167,0
26/05/02,    5.1516,4.97073605284095,0
27/05/02,    5.5696,4.43702179938555,0
28/05/02,    8.7495,3.06012984085828,0
29/05/02,    1.1155,3.43876509834081,0
30/05/02,    1.2262,4.28185550309718,0
31/05/02,    8.6352,5.07012281194329,0
01/06/02,    7.5841,3.83688015211374,0
02/06/02,    5.5172,4.26776903122664,0
03/06/02,    3.1675,4.62152563408017,0
04/06/02,    4.6961,4.20049281232059,0
05/06/02,    0.0000,4.57281173765659,0
06/06/02,    3.3615,3.37183952052146,0
07/06/02,    6.9321,4.44731123000383,0
08/06/02,    1.5780,4.38600663654506,0
09/06/02,    5.0858,4.45175088755786,0
10/06/02,    0.0000,3.56414504069835,0
11/06/02,    4.6341,3.3442602250725,0
12/06/02,    2.0054,3.54092385154217,0.012000000104308
13/06/02,    8.5113,3.94504671730101,0.024000000208616
14/06/02,    4.5688,3.36125747859478,0.024000000208616
15/06/02,    4.8636,3.37378061935306,0.024000000208616
16/06/02,    1.7553,3.57300726976246,0.024000000208616
17/06/02,    0.0000,3.90217812359333,0.024000000208616
18/06/02,    2.1718,4.43199347890913,0.024000000208616
19/06/02,    2.8049,2.86778156366199,0.024000000208616
20/06/02,    3.3464,4.2130614425987,0.024000000208616
21/06/02,    7.0757,4.17328222841024,0.024000000208616
22/06/02,    1.7063,4.08569133095443,0.024000000208616
23/06/02,    7.0066,4.53982005268335,0.024000000208616
24/06/02,    6.1550,3.39115594234318,0.024000000208616
25/06/02,   15.8345,4.06041656062007,0.024000000208616
26/06/02,   17.8530,4.3431759160012,0.012000000104308
27/06/02,    2.8956,3.88703977130353,0
28/06/02,   13.1209,4.69670147635043,0.012000000104308
29/06/02,    1.9915,4.73656680993736,0.18299999833107
30/06/02,    0.0000,3.89196166023612,1.08500003814697
01/07/02,    7.3410,3.26551494840533,2.86100006103516
02/07/02,    6.6162,2.50225775130093,4.44999980926514
03/07/02,    5.0506,2.76270218286663,4.35400009155273
04/07/02,    0.0000,3.72250927239656,3.19300007820129
05/07/02,    4.7837,3.90593648515642,2.18300008773804
06/07/02,    1.1143,3.55527295358479,1.75600004196167
07/07/02,    7.7735,4.11747992411256,4.54500007629395
08/07/02,    4.3855,3.00652961991727,6.31500005722046
09/07/02,    8.3653,2.70944972429425,4.45900011062622
10/07/02,    4.8251,3.39107541833073,3.06299996376038
11/07/02,    4.8964,4.06311621703207,2.40100002288818
12/07/02,    7.9757,4.20099006965756,2.05800008773804
13/07/02,    0.0000,4.15480086952448,1.57599997520447
14/07/02,    0.0000,3.84453140385449,3.44400000572205
15/07/02,   11.6295,4.19714888185263,4.86100006103516
16/07/02,    6.3701,2.49180092010647,6.54899978637695
17/07/02,    9.5086,3.02792175021023,5.66900014877319
18/07/02,   14.1603,3.86775163840503,4.2480001449585
19/07/02,    0.2547,3.57043748814613,3.32599997520447
20/07/02,    5.7938,4.04597795195878,3.33800005912781
21/07/02,    4.6909,2.58017920702696,7.52299976348877
22/07/02,    3.3454,3.27290330082178,7.55999994277954
23/07/02,    0.1377,2.25625176448375,6.31199979782105
24/07/02,    1.4767,3.31372452620417,6.8600001335144
25/07/02,    0.8216,4.10425582155585,5.83300018310547
26/07/02,    2.5932,2.86524449009448,5.55299997329712
27/07/02,    1.7155,4.47176261991262,4.38899993896484
28/07/02,    3.9466,3.833296100609,3.26300001144409
29/07/02,   12.4987,4.11802892759442,2.46600008010864
30/07/02,    2.0888,2.98803424183279,1.95000004768372
31/07/02,    9.2735,3.10473096463829,1.81599998474121
01/08/02,    9.1691,3.40457482915372,6.53000020980835
02/08/02,    1.8226,2.90981357637793,27.7800006866455
03/08/02,    0.0000,3.95654282998294,21.7999992370605
04/08/02,    0.8652,3.35639552120119,15.3999996185303
05/08/02,   27.9988,2.52206935640424,15.5900001525879
06/08/02,   10.3405,2.95570607390255,58.310001373291
07/08/02,    7.1317,2.94467581715435,54.689998626709
08/08/02,    1.2979,4.21428932249546,23.6200008392334
09/08/02,   20.7068,2.23841119837016,25.5400009155273
10/08/02,    2.8434,2.40954995527864,28.8600006103516
11/08/02,   10.7490,4.07879787124693,41.2999992370605
12/08/02,    7.9832,3.80213629547507,55.7000007629395
