Dates,Prec,ETP,Q_obs
14/04/1967,    5.8698,4.5472959094,5.4549999237
15/04/1967,    0.5055,5.7962488402,4.6119999886
16/04/1967,    3.4226,5.7879154198,3.8180000782
17/04/1967,    4.7167,5.8226653207,3.9089999199
18/04/1967,    6.0432,4.6646252815,4.9099998474
19/04/1967,    0.0000,4.7531905994,5.6510000229
20/04/1967,    1.2880,3.5085045872,5.8740000725
21/04/1967,    9.9390,4.7911256328,5.861000061
22/04/1967,   10.6480,4.0345406123,5.5599999428
23/04/1967,   20.8525,3.5661358144,5.2589998245
24/04/1967,    0.3536,4.5300789196,5.2459998131
25/04/1967,    0.0000,4.9849885497,5.6290001869
26/04/1967,    1.6706,3.2151717944,15.3299999237
27/04/1967,    4.0067,4.3892471641,19.9099998474
28/04/1967,    3.6218,2.8441700675,14.5699996948
29/04/1967,    8.1185,3.2786133271,11.3100004196
30/04/1967,    6.5188,2.7792584058,9.8249998093
01/05/1967,    0.0462,3.8706930075,11.5600004196
02/05/1967,    3.3070,3.38841224,11.3999996185
03/05/1967,    5.6896,4.9006296936,8.5869998932
04/05/1967,    5.7022,4.752664201,6.368999958
05/05/1967,    0.0000,2.9124319674,5.7829999924
06/05/1967,    0.7418,4.6658185776,5.6649999619
07/05/1967,    0.0000,5.1321919076,5.6519999504
08/05/1967,    0.0223,4.7897740304,5.4679999352
09/05/1967,    0.8980,5.2184247356,5.4549999237
10/05/1967,    0.7640,5.3231203109,5.4549999237
11/05/1967,    2.8242,5.2570238393,5.4679999352
12/05/1967,    7.9789,4.8578867801,5.756000042
13/05/1967,    6.5729,4.2543927077,5.9790000916
14/05/1967,    1.6721,4.9323303811,6.0830001831
15/05/1967,    0.4236,4.9522741195,6.1880002022
16/05/1967,    1.5571,4.9493754599,6.5009999275
17/05/1967,   16.7258,4.8887678199,6.8330001831
18/05/1967,   12.5467,2.9058970409,6.9879999161
19/05/1967,    0.7573,4.9695811104,7.9289999008
20/05/1967,    1.3093,3.3228562297,8.8090000153
21/05/1967,    0.1902,4.7106130794,9.4600000381
22/05/1967,    0.1912,4.7935805079,9.8830003738
23/05/1967,   10.8211,4.709146278,9.0559997559
24/05/1967,    7.3310,4.067391444,8.5769996643
25/05/1967,    8.7740,3.7948806332,8.3000001907
26/05/1967,    8.5038,4.4775599036,7.9600000381
27/05/1967,    1.9789,4.4010264892,7.8060002327
28/05/1967,    6.3182,4.2034611162,7.1909999847
29/05/1967,    3.4954,3.5292051062,6.4120001793
30/05/1967,   10.1734,3.9726687623,5.861000061
31/05/1967,    0.3908,4.2363308277,5.271999836
01/06/1967,    0.3142,3.7984910598,5.2329998016
